from,to,time,,,,,,,
hn,stm,1796,,,,,,,
hn,sdg,1796,,,,,,,
ax,sag,1797,,,,,,,
ax,sha,1797,,,,,,,
lo,kge,1796,,,,,,,
lo,st,1796,,,,,,,
lo,sha,1796,,,,,,,
lo,bmb,1798,,,,,,,
pm,bng,1796,,,,,,,
pm,mrs,1796,,,,,,,
pm,cgh,1796,,,,,,,
pm,cta,1796,,,,,,,
eoa,bmb,1797,,,,,,,
eoa,sha,1797,,,,,,,
eoa,ggg,1797,,,,,,,
tc,cta,1797,,,,,,,
tc,sha,1797,,,,,,,
ssl,mrs,1797,,,,,,,
ssl,cgh,1797,,,,,,,
ssl,cta,1797,,,,,,,
ssl,pag,1797,,,,,,,
ssl,sag,1797,,,,,,,
ssl,sha,1797,,,,,,,
ctt,ggg,1797,,,,,,,
ctt,sha,1797,,,,,,,
tms,sha,1797,,,,,,,
tms,aba,1797,,,,,,,
tms,ggg,1797,,,,,,,
tms,cgh,1797,,,,,,,
npt,bmb,1797,,,,,,,
npt,khi,1797,,,,,,,
npt,mlc,1797,,,,,,,
npt,ggg,1797,,,,,,,
npt,sha,1797,,,,,,,
crs,mrs,1796,,,,,,,
cfn,ggg,1797,,,,,,,
cfn,cgh,1797,,,,,,,
cfn,sha,1797,,,,,,,
pch,mrs,1796,,,,,,,
pch,tm,1797,,,,,,,
pch,sha,1797,,,,,,,
wrl,bmb,1797,,,,,,,
wrl,tcy,1797,,,,,,,
wrl,khi,1797,,,,,,,
wrl,ggg,1797,,,,,,,
wrl,sha,1797,,,,,,,
brw,bmb,1795,,,,,,,
brw,tcy,1795,,,,,,,
brw,cta,1795,,,,,,,
brw,bmb,1796,,,,,,,
mdd,sha,1797,,,,,,,
mdd,cgh,1797,,,,,,,
mdd,cta,1797,,,,,,,
mdd,sag,1797,,,,,,,
ntld,bng,1797,,,,,,,
ntld,cgh,1797,,,,,,,
et,mrs,1797,,,,,,,
et,bmb,1800,,,,,,,
lc,mrs,1780,,,,,,,
lc,mlc,1780,,,,,,,
pg,sha,1782,,,,,,,
pg,mrs,1783,,,,,,,
pg,bng,1783,,,,,,,
hr,cta,1795,,,,,,,
it,bng,1794,,,,,,,
it,mrs,1794,,,,,,,
it,cta,1795,,,,,,,
ir,bmb,1818,,,,,,,
ccr,waa,1795,,,,,,,
ccr,waa,1797,,,,,,,
my,mrs,1796,,,,,,,
ly,bbs,1795,,,,,,,
hl,cgh,1796,,,,,,,
un,waa,1796,,,,,,,
ls,cta,1795,,,,,,,
ls,dh,1795,,,,,,,
ls,sha,1795,,,,,,,
ls,rs,1795,,,,,,,
ls,cgh,1796,,,,,,,
ma,bbs,1795,,,,,,,
ma,de,1797,,,,,,,
oc,st,1796,,,,,,,
oc,dh,1796,,,,,,,
oc,cta,1796,,,,,,,
oc,bng,1798,,,,,,,
pf,bng,1797,,,,,,,
tr,cgh,1796,,,,,,,
tr,sha,1796,,,,,,,
wb,cgh,1796,,,,,,,
wb,mrs,1796,,,,,,,
wb,bng,1796,,,,,,,
wb,kge,1797,,,,,,,
wb,dh,1797,,,,,,,
wb,ck,1798,,,,,,,
fr,bng,1796,,,,,,,
fr,st,1796,,,,,,,
fr,sto,1796,,,,,,,
fr,cgh,1796,,,,,,,
fr,bng,1797,,,,,,,
fr,mrs,1797,,,,,,,
fr,cta,1797,,,,,,,
fr,sag,1798,,,,,,,
fr,cgh,1798,,,,,,,
fr,sha,1798,,,,,,,
hr,cgh,1797,,,,,,,
hr,mrs,1797,,,,,,,
hr,cta,1798,,,,,,,
ha,cgh,1797,,,,,,,
ha,waa,1797,,,,,,,
ha,bt,1797,,,,,,,
ha,cgh,1797,,,,,,,
maa,bng,1796,,,,,,,
maa,cgh,1796,,,,,,,
maa,cta,1797,,,,,,,
maa,kge,1797,,,,,,,
maa,pag,1797,,,,,,,
maa,cgh,1797,,,,,,,
maa,sha,1798,,,,,,,
pw,cgh,1796,,,,,,,
pw,pj,1796,,,,,,,
pw,waa,1796,,,,,,,
