id,id_name,nationality,first_voyage,owner,fate_of_ship,port_of_registry,type
lc,Lascelles,British,1780,Sir Alexander Hamilton,3,NA,1
pg,Pigot,British,1780,Charles Fouli,3,NA,1
pr,Princess Royal,British,1786,Alexander Hume,3,NA,1
it,Indian Trader,British,1794,John Brickwood,3,NA,1
ir,Iris,British,1811,NA,3,NA,1
ac,Achilles,British,1787,NA,NA,NA,1
cc,Cirencester,British,1795,Sir Robert Preston,2,Rotherhithe,1
my,Mary,British,1795,NA,3,Calcutta,1
ly,Liberty,British,1795,Blackman,1,Dunnose,1
ay,Abercromby,British,1796,Fairlie & Co.,1,London,1
hl,Hercules,British,1796,Ed. Jones,1,Calcutta,1
un,Union,British,1796,John Dawson & John Rackham,3,Liverpool,1
ls,Lady Shore,British,1797,James Willcocks,3,Plymouth,1
ln,Lion,British,1796,Camden,3,NA,1
ma,Martha,British,1788,R. Fisher,1,Liverpool,1
oc,Ocean,British,1796,Messrs Hurry & Co,2,Gravesend,1
pa,Paragon,British,NA,NA,3,NA,1
pf,Prince Frederick,British,1797,J. Scougall,3,NA,1
tr,Trojan,British,1796,S. Temple,2,Portsmouth,1
wb,Walter Boyd,British,1791,"Calcleugh & Co., London",3,Texel,1
fr,Friendship,British,1796,John & Hames Mangles,3,Portsmouth,1
hr,Harriet,British,1795,NA,3,Calcutta,1
ha,Henry Addington,British,1796,Sir Alexander Hamilton,1,Portsmouth,1
maa,Maria,British,1796,J. Potts,3,Portsmouth,1
mi,Minerva,British,1787,Jeremiah Royds & John Atkins,3,Portsmouth,1
pw,Prince of Wales,British,1795,NA,3,Portsmouth,1
ra,Ranger,British,1789,J. Corran,3,Liverpool,1
sy,Sylph,British,1796,W. Reynolds,3,Port Jackson,1
gh,Good Hope,British,1795,John Mangles,3,Portsmouth,1
et,Earl Talbot,British,1796,William Moffat,1,Portsmouth,1
qu,Queen,British,1786,Peter Douglas & Moses Aga,3,The Downs,1
ma,Malabar,British,1796,William Hamilton,3,Portsmouth,1
hn,Hindostan,British,1796,Robert Williams,1,Deptford,1
ax,Alexander,British,1997,Connick & Co,2,London,1
lo,Loyalist,British,1996,Curling & Co,3,London,1
pm,Princes Mary,British,1796,Matthew White,1,Portsmouth,1
eoa,Earl of Abergavenny,British,1796,Wiiliam Dent,1,Portsmouth,1
tc,Tellicherry,British,1796,John St Barbe,1,Portsmouth,1
ssl,Sir Stephen Lushington,British,1796,Peter Everitt Mestaer,3,Portsmouth,1
ctt,Coutts,British,1797,Sir Robert Preston,1,Portsmouth,1
tms,Thames,British,1796,Abel Chapman,1,Portsmouth,1
npt,Neptune,British,1796,William Fraser,1,Portsmouth,1
crs,Ceres,British,1797,Thomas Newte,2,Portsmouth,1
cfn,Cuffnells,British,1796,Sir Robert Preston,NA,NA,1
pch,Princes Charlotte,British,1796,Peter Everitt Mestaer,NA,Portsmouth,1
wrl,Warley,British,1796,Henry Boutlon,5,Portsmouth,1
oon,Orion,British,1797,NA,NA,NA,1
brw,Barwell,British,1782,Sir Richard Naeve,NA,Portsmouth,1
knt,Kensington,British,1797,NA,NA,NA,1
mdd,Mildred,British,1797,Moxon & Co,5,Torbay,1
ntl,Northumberland,British,1797,J Lyall,5,South Shield,1
no,Northumberland,British,1781,John Mitford,2,NA,1
re,Regulus,British,1779,R. Ross,1,NA,1
te,Telegraph,British,1797,NA,NA,NA,1
as,Asia,British,1779,Smith,2,London,1
ho,Hope,British,1779,Alexander Hume,2,Portsmouth,1
eu,Eurydcie,British,1797,St Barbe,3,Chester,1
ze,Zephyr,British,1791,Kensington & Co,NA,London,1
ga,Ganges,British,1794,NA,1,Bombay,1
ag,Admiral Gardner,British,NA,John Woolmore,1,NA,1
lo,Louisa,British,1798,T. Leyland,1,Liverpool,1
jj,John and James,British,1798,Margetson & Co,3,NA,1
mc,Marquis Cornwallis,British,1798,Lennox & Co.,3,NA,1
oc,Ocean,British,1796,Messrs Hurry & Co,NA,NA,1
op,Orpheus,British,1794,John St Barbe & Co,2,Plymouth,1
sc,Sarah Christiana,British,1798,Robert Charnock,1,Portsmouth,1
mn,Minerva,British,1787,Jeremiah Royds,3,Portsmouth,1
th,Thames,British,1796,Abel Chapman,1,Portsmouth,1
wa,Walpole,British,1779,Robert Wigram,1,NA,1
dc,Dover Castle,British,1798,John Atkins,3,Portsmouth,1
ld,Lord Duncan,British,1798,John Woolmore,1,Portsmouth,1
cc,Calcutta,British,1794,NA,1,NA,1
as,Asia,British,1781,Thomas Newte,3,Portsmouth,1
bb,bombay,india,NA,NA,NA,NA,2
khi,kochi,india,NA,NA,NA,NA,2
tcy,Tellicherry,india,NA,NA,NA,NA,2
sha,St Helena,british,NA,NA,NA,NA,2
stm,Santa Margarita,italy,NA,NA,NA,NA,2
sdg,San Domingo,dominican republic,NA,NA,NA,NA,2
sag,Saugor,india,NA,NA,NA,NA,2
mlc,Malacca,malaysia,NA,NA,NA,NA,2
bng,Bengal,india,NA,NA,NA,NA,2
mrs,Madras,india,NA,NA,NA,NA,2
cgh,Cape of Good Hope,south africa,NA,NA,NA,NA,2
cta,Calcutta,india,NA,NA,NA,NA,2
ggg,Guangdong,china,NA,NA,NA,NA,2
pag,Penang,malaysia,NA,NA,NA,NA,2
aba,Ambonia,indonesia,NA,NA,NA,NA,2
kge,Kedgeree,india,NA,NA,NA,NA,2
waa,Whampoa Anchorage,china,NA,NA,NA,NA,2
tm,Trincomalee,India,NA,NA,NA,NA,2
bbs,Barbados,barbados,NA,NA,NA,NA,2
bw,Black Wall,england,NA,NA,NA,NA,2
wa ,West Africa,africa,NA,NA,NA,NA,2
dh,Diamond Harbour,india,NA,NA,NA,NA,2
rs,River Shannon,irland,NA,NA,NA,NA,2
in,India,india,NA,NA,NA,NA,2
de,Demerara,guyana,NA,NA,NA,NA,2
co,Cowes,british,NA,NA,NA,NA,2
st ,Simons Town,south africa,NA,NA,NA,NA,2
ck,Cork,ireland,NA,NA,NA,NA,2
st,Sao Tiago,Republic of Cabo Verde,NA,NA,NA,NA,2
lr,Long Reach,NA,NA,NA,NA,NA,2
bt,Bally Town,India,NA,NA,NA,NA,2
cb,Cox's Bazar,Bangladesh,NA,NA,NA,NA,2
co,Colombo,Sri Lanka,NA,NA,NA,NA,2
an,Angola,Angola,NA,NA,NA,NA,2
bob,Botany Bay,Australia,NA,NA,NA,NA,2
ch,China,China,NA,NA,NA,NA,2
pj,Port Jackson,Australia,NA,NA,NA,NA,2
bc,Bencoolen,Indonesia,NA,NA,NA,NA,2
ks,Kingston,Jamaica,NA,NA,NA,NA,2
mad,Madeira,Portugal,NA,NA,NA,NA,2
fcl,Funchal,Portugal,NA,NA,NA,NA,2
eur,Europe,British,1803,P.W.Mellish,7,The Downs,1
laca,Lady Castlereagh,British,1803,Henry Callender,2,The Downs,1
swp,Sir William Pulteney,British,1803,William Marshall,2,Calcutta,1
hdt,Huddart,British,1803,John Woolmore,1,The Downs,1
unn,Union,British,1803,Henry Callender,2,The Downs,1
esx,Essex,British,1803,Henry Bonham,4,Portsmouth,1
wcs,Winchelsea,British,1804,William Moffat,4,Portsmouth,1
cyl,Ceylon,British,1803,John St. Barbe,6,The Downs,1
axd,Alexander,British,1804,George F. Clay,2,Portsmouth,1
epht,Euphrates,British,1803,Thomas Hurry,1,Portsmouth,1
mra,Maria,British,1804,Greenway & Co,5,Calcutta,1
dvsh,Devonshire,British,1805,Henry Cooke,5,Portsmouth,1
srry,Surrey,British,1805,William Borradaile,2,Portsmouth,1
lkh,Lord Keith,British,1804,Peter Everett Mestaer,4,Portsmouth,1
phx,Phoenix,British,1804,Robert Williams,4,Portsmouth,1
hpe,Hope,British,1804,Cook & Co,6,Calcutta,1
mgt,Margaret,British,1804,NA,3,Calcutta,1
jdg,Jane Dutchess of Gordon,British,1805,Charles Christie,5,Portsmouth,1
rtt,Retreat,British,1801,Sir Robert Wigram,2,Portsmouth,1
ntl,Northumberland,British,1805,Henry Joseph Hounsom,2,Cork,1
wpt,William Pitt,British,1805,Henry Bonham,2,Falmouth,1
shm,Streatham,British,1805,William Borradaile,2,Cork,1
etb,Earl Talbot,British,1797,William Moffat,1,Portsmouth,1
las,Lascelles,British,1780,Robert Wigram,4,Portsmouth,1
pi,Pigot,British,1780,Robert Preston,6,Portsmouth,1
prr,Princess Royal,British,1787,Alexander Hume,6,The Downs,1
ra,Royal Admiral,British,1787,John Pascall Larkins,2,Portsmouth,1
har,Harriet,British,1795,NA,3,The Downs,1
int,Indien Trader,British,1785,M Benson,1,The Downs,1
iri,Iris,British,1783,Fisher & Birdsch,1,Liverpool,1
jaj,John and James,British,1795,Killock & Co,6,The Downs,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
hrm,Harmony,British,1798,Ritchie,3,Liverpool,1
hnd,Hinde,British,1801,M. Foster,1,The Downs,1
ntw,Nutwell,British,1801,Heathfield & Co,5,Portsmouth,1
pnc,Perseverance,British,1802,Sir William Frasier,4,Portsmouth,1
prc,Porcher,British,1799,Benjamin Blake,6,NA,1
seh,Sir Edward Hamilton,British,1801,NA,1,Portsmouth,1
jbw,Sir John Borlase Warren,British,1800,NA,5,The Downs,1
sfk,Suffolk,British,1801,Robertson & Co,6,Portsmouth,1
eom,Earl of Mornington,British,1799,East India Company,2,The Downs,1
skc,Skelton Castle,British,1800,Thomas Wilkinson,5,The Downs,1
sta,Star,British,1803,NA,1,Calcutta,1
trv,Travers,British,1800,John Mangles,1,Portsmouth,1
mnr,Monarch,British,1801,Peter Everitt Mestaer,4,Portsmouth,1
sov,Sovereign,British,1801,John Locke,4,The Downs,1
,,,,,,,
ang,Anjengo,India,NA,NA,NA,NA,2
coc,Cochin,India,NA,NA,NA,NA,2
sur,Surat,India,NA,NA,NA,NA,2
cal,Calicut,India,NA,NA,NA,NA,2
qui,Quilon,India,NA,NA,NA,NA,2
ach,Acheh,India,NA,NA,NA,NA,2
col,City of London,British,1800,Sir William Curtis,4,The Downs,1
dor,Dorsetshire ,British,1800,Robert Williams,4,Long Reach,1
ljd,Lady Jane Dundas,British,1800,Sir Robert Wigram,5,The Downs,1
cmt,Comet,British,1794,NA,1,,1
lm,Lucy Maria,British,1801,Walter Dawes,4,Calcutta,1
tho,Thomas Grenville,British,1802,Archer & Smith,1,Calcutta,1
